nconst,director_name,director_star_power,director_movies,director_avg_budget,director_avg_revenue,director_avg_roi,director_avg_rating,director_success_rate
nm0264236,Richard Eyre,2.6666666666666665,3,16.286431050284573,16.923264174530377,1.1350833807348197,6.6000000000000005,0.6666666666666666
nm0266622,Rick Famuyiwa,2.6666666666666665,3,16.08419420273091,16.917980258798057,1.254579929067216,6.266666666666667,0.6666666666666666
nm0268380,Peter Farrelly,2.2222222222222223,9,17.65137222400959,18.371177397528918,1.171434769667189,5.944444444444445,0.5555555555555556
nm0269463,Jon Favreau,2.2857142857142856,7,18.292847383806116,19.327455337235392,1.4280730580673282,6.828571428571428,0.5714285714285714
nm0271402,Sam Fell,0.0,3,18.31160966005042,18.636939940381936,0.9074369829079594,6.566666666666666,0.0
nm0275277,Shana Feste,0.0,3,16.4304704091712,16.736681682336368,0.7328444841857723,6.366666666666667,0.0
nm0275286,David S. Goyer,1.3333333333333333,3,17.426428497635523,18.164624513935358,1.267788380006692,5.533333333333334,0.3333333333333333
nm0275629,Glenn Ficarra,2.6666666666666665,3,17.445170678943438,18.484629891443404,1.2596263016370126,6.866666666666667,0.6666666666666666
nm0275698,Andy Fickman,3.3333333333333335,6,17.188537096945446,18.370940979054843,1.501646040908238,5.766666666666667,0.8333333333333334
nm0281396,Ryan Fleck,1.3333333333333333,3,15.476908399202486,15.162154893789612,1.2852339438410312,6.866666666666667,0.3333333333333333
nm0281508,Ruben Fleischer,1.3333333333333333,3,17.431819346125096,18.230696072351275,1.2564121574353793,6.733333333333333,0.3333333333333333
nm0281598,Andrew Fleming,0.0,4,16.746704363714027,16.563049961814233,0.5234256053835584,6.15,0.0
nm0281945,Anne Fletcher,2.4,5,17.262318482725615,18.73613605557341,1.802303094501465,6.08,0.6
nm0284774,Anne Fontaine,0.0,3,16.718762033568705,13.985772466413788,0.05766853431531717,6.466666666666666,0.0
nm0286975,Marc Forster,2.2222222222222223,9,17.945329524465826,18.877351004674818,1.3921646233844922,6.966666666666667,0.5555555555555556
nm0291205,David Frankel,3.0,4,17.541204009297314,18.987253944295286,1.6866533407436957,6.625,0.75
